Name a food you buy more than one of at a time...,Potat*Potatoes,Egg*Eggs,Apple*Apples,Banana*Bananna*Bananas*Bannana,Grape*Grapes
Name something that's hardest to do the first time you try it...,Bike*Ride a Bicycle*Bic,Ski,Drive*Car,Skate,Swim
Name a food people eat and then regret later...,Onions*Onion,Chili*Chile*Chilli*Chilly,Bean*Beans,IceCream*Ice-Cream*Ice Cream,Peppers*Pepp
"Name something that goes ""Boom!""...",Canonn*Cannon*Canon*Cannonn,Firecra*Firework*Fireworks,Thunder*Lightning,Bomb,Sonic Boom*Sonic
Name an animal that likes to poke around in your garbage late at night...,Raccoon*Rac,Dog,Cat,Poss*Possum*Oposs,Skunk
Name something that puts people to sleep...,Medic*Medication,Reading*Book*Read*Magaz,Music*Tunes,T.V*TV*Teevee*Television,Milk
Name something you buy frozen...,IceCream*Ice-Cream*Ice Cream,Vegetables*Veg,TV Dinner*T.V. Din*TV Din,Pizza,Fish
"Besides ""King"" & ""Queen,"" name a title some people have in England...",Prince,Duke,Sir*Knight,Lord,Duchess*Duches
"Name an ingredient in meat loaf, besides meat...",Egg*Eggs,Bread Crumbs*Crum*Bread,Onion,Tomato,Ketchup*Catsup
"Name something that is easy to do forwards, but hard backwards...",Walk,Run,Drive*Car,Write,Skate
"Besides clothing, name something you wash by hand...",Dish*Dishes,Truck*Car,Crystal,Body,Pet*Dog*Pets*Cat
Name something you'd wear even if it has a hole in it...,Sox*Sock,Jean*Denim*Jeans,Boxers*Underwear*Under*Briefs*Panties,Shoe*Boot,Sweater
Name something that happens at every child's birthday party...,Blow Out Candles*Candle,Eat Cake*Cake,Sing Happy Birthday*Sing,Dirt*Spill*Spill Things*Mess,Game*Play*Play Games
Name a food that you boil in a big pot...,Spag*Macar*Pasta,Soup,Potato*Potatoes,Chik*Chicken*Chick,Corn
Name something made for the mouth...,Brace*Braces,Toothbrush*Tooth-brush,Fake*Dentures*Denture,Lipgloss*Lipbalm*Lipstick,Toothpaste*Paste
Name an occupation whose workers should know CPR...,Paramed*EMT*Paramedic,Nurse,Fire*Firefighter,Ambulance*Ambulance Driver,Life guard*Lifeguard*Life-guard
"Give me another word for ""Meathead""...",Dummy*Dumm,Stup*Stupid,Idiot,Dumbbell*Bell,Jerk
Besides candy name something that might have a chocolate covering...,Cake,IceCream*Ice-Cream*Ice Cream,Cookie*Cookies,Nuts*Nut,Raisins*Rais
Name the college selected by the brightest students...,Harvard,Yale,M.I.T*MIT,Stanford*Stanf,UCLA*U.C.L.A
Name something people carry in their hands as they board airplanes...,Tick*Tix*Pass*Ticket,Bag*Carry-on*Carry on*Backpack*Carry On,Book*Magaz,Camera,Purse
Name something specific which people clean for a living...,Carpets*Carpet*Rug,Home*House*Houses,Cars*Car,Window*Windows,Cloth*Clothes
"Name something you use often, that's always breaking down...",Truck*Car,Mower*Lawn Mower,Vac*Vacuum Cleaner,Zerox*Xerox*Copy*Copier,Dish*Dishwasher
Name something about commercial air travel worse now than 10 years ago...,Price*Cost,Delay*Wait,Food,Terrorism*Terror,Crowd*Crowds
Name something people give to celebrities to autograph...,Napk*Napkin*Tissue,Photo*Pic,Program,Paper*Blank Paper,Book
Name something you wish you could do faster...,Type,Work,Read,Run,Weight*Fit*Lose Weight*Exercise
Name something that can give you blisters...,Shoes*Shoe*Boot,Garden*Gardening,Shovel*Shoveling,Fire*Heat*Burn,Sweeping*Broom*Sweep
Name something people cut...,Hair,Chick*Pork*Meat*Beef*Turk,Paper,Lumber*Tree*Wood,Lawn*Grass*Yard
Name the filling you hope for when you bite into a chocolate...,Carmel*Caramel*Caramal*Carimel,Nuts*Nut,Chocolate*Choc,Liquid Cherry*Cherry,Nougat*Noug*Nug*Noog
Name the most indispensable electric kitchen appliance...,Can-Open*Can Opener*Can Open,Coffee Maker*Coffee,Toaster*Toast,Micro*Microwave,Fridge*Refrig*Refrigerator
Name a kind of place that can be very romantic...,Beach*Shore*Ocean,Restaurant,Tropical Island*Isl*Tropic,Boat*Cruise*Ship,Park
Name something that lets off steam...,Kettle*Teakettle*Tea,Iron*Clothes Iron,Train,Pressure-Cooker*Pressure Cooker,Steam Engine*Engine
Name something people can inherit genetically from their parents...,Eye*Eye Color,Hair*Hair Color,Tall*Height,Nose,Heart*Heart Problems
Name an occupation in which you think there's a large divorce rate...,Police*Cop,Celeb*Act*Show Business*Hollywood*Show Biz,Physician*Surgeon*Medic*Doc,Driver*Truck*Truck Driver,Sales
Name something kids imitate the sound of...,Woof*Dog,Vroom*Car,Choo*Train*Chug,Siren*Fire*Police*Ambul*Cop,Cow*Moo
Name a kind of candy that comes in different colors...,Lifesavers*Savers,M&M*M & M*M-and-M*M-&-M*M and M,Taffy,Bean*Jellybeans*Jelly,Lollipops*Sucker*Loll
Name a family dinner you'd never serve to company...,Dog*Hot Dogs*Weener*Wiener,Loaf*Meat Loaf,Caser*Casser*Casserole,Mac*Macaroni,Burger*Hamburger
Name something Switzerland is famous for...,Alps*Alp,Chocolate*Choc,Watch*Clocks*Clock,Cheese,Skiing*Ski
Name a physical characteristic of a comic book or TV Martian...,Green*Green Body,Antenna*Ante,Large Eyes*Bug Eyes*Big Eyes,Pointy Ears*Pointy,Big Head*Large Head
"Name an occupation that begins with the letter ""B""...",Baker*Bake,Barber,Bar-tend*Bar tend*Bartender*Bartend,Bank*Banker,Butch*Butcher
Name something that gets in your eyes and stings them...,Soap*Sud,Fire*Smoke,Onion*Onion Fumes,Dust,Chlorine*Chlor*Clor
Name a vehicle you can recognize by the sound it makes...,Motorbike*Motorcycle,Car,Train,Plane*Airplane,Boat*Ship
Name a place where you see more kids than adults...,School,Park,Video Arcade*Arcade,Disney*Six Flags*Amusement*Amusement Park,Concert*Concerts*Music
Name something that people use to pick a lock...,Hair pin*Hairpin*Hair-pin,Credit Card*Card,File,Knife,Screw-driver*Screw driver*Screwdriver
Name something that Texas is famous for...,Oil,The Alamo*Alamo,Ranch*Cattle*Cows,Cowboy*Cowboys,Footbal*Football
Name a famous street anywhere in the world...,Broadway,Fifth Ave*5th*Fifth,Bourbon*Bourbon Street,Wall Street*Wall,Hollywood*Hollywood Blvd
"Besides a bathing suit, name something people wear in the water...",Goggle*Goggles,Bathing Cap*Cap,Short*Shorts,Wet Suit*Wet-suit*Wetsuit*Wet suit,Plug*Ear Plugs
Name something that sound sleepers often sleep through...,Storm*Storms*Thunder*Lightning,Alarm*Alarm Clock,Phone Ringing*Phone,Siren*Fire*Police*Ambul*Cop,Quake*Earthquake
"Name something that rises, besides the sun and the moon...",Dough*Bread,Ocean*Tide*Wave,Temperature*Degree*Temp,Balloon,Hot Air*Hotair*Hot-air*Hot air
Name a fruit you eat with a spoon...,Grapefruit*Grape-fruit*Grape fruit,Canta*Cantaloupe*Mellon*Melon,Strawb*Strawberries,Peaches*Peach,Blueberries*Blueb
Name something that people spread...,Butter,Rumors*Gossip*Rumor,Germs*Germ,Peanut*PB*Peanut Butter*P.B,Jelly*Jam
Give me a word or phrase you might hear in a courtroom during a trial...,Order,Objection*Object,Guilt*Guilty,Honor*Your Honor,Overruled*Over ruled*Overr*Over-ruled
Name something fathers buy for their kids but play with themselves...,Train*Train Set*Choo,Arcade*Video Games*Video,Model*Model Car*Car,Kite,Comp*Computer*CPU*PC
Name something that usually breaks when you drop it...,Glass,Porc*Ceram*China,Egg,Light*Bulb*Light Bulb,Mirror*Mirr
Name something at a house that uses a lot of water...,Washing*Laundry*Washing Machine,Shower*Tub*Bath,Grass*Lawn*Yard,Dish*Dishwasher,Toilet*Potty*John
Name something people buy with the future in mind...,Home*House,Stocks*Stock,Insurance*Insur,Furniture*Sofa*Couch*Table*Chair,Auto*Truck*Car*Van
Name a breed of dog that you would describe as annoying...,Chihuahua*Chi,Poodle,Bull*Pit Bull,Pinscher*Dober*Doberman Pinscher*Pincher,Pek*Pekingese
Name a specific item that you have on the patio...,Grill*Barbecue*Barb*BBQ,Chair,Table,Plant,Swing
Name an expensive fabric...,Silk,Velvet,Caz*Cashmere*Cashm,Sateen*Satin,Seude*Leather*Suede
Name something that people fight about with their next door neighbors...,Pet*Dog*Pets*Cat,Noise*Nois*Loud,Fence*Property*Line*Property Line*Border,Child*Kids*Kid,Grass*Lawn*Yard
Name a sport that is not regulated by a clock...,Base*Baseball,Tennis*Tenn,Golf,Bowling*Bowl,Gymn*Gymnastics
Name a kind of place that might have an information booth...,Mall,Airport*Airp,Amusement*Amusement Park,Hospital*Hosp*Doc,Museum*Musuem
Name something you replace in your bathroom on a regular basis...,TP*Paper*Toilet Paper,Towel*Towels,Soap,Tissues*Tissue,Toothpast*Toothpaste
Name a place where you sit in an adjustable seat...,Car,Plane*Airplane,Dentist's Office*Dentist,Salon*Hair*Barb*Barber,Cin*Movie*Theat
Name a reason for an office party...,Christmas*Xmas*Christ,Retirement*Retire*Leav*Quit,Birthday*Birth*Bday,Promotion*Raise*Promot,Away*Going Away*Voyage
Name a bird with legs that look long...,Ostr*Ostrich,Flamin*Flamingo,Stork,Crane*Crain,Herron*Heron*Herin
Name something you should take along with you on a fishing trip...,Fishing Pole*Pole,Worm*Bate*Bait,Repel*Bug*Spray*Bug Spray,Food*Eat*Snack,Boots*Galosh*Shoe*Wade*Boot*Golash
"Besides pills, name a cure for headaches...",Nap*Sleep,Rest,Comp*Cold*Cold Compress*Ice,Massage*Masage,Soak*Shower*Hot Shower*Bath
